id,rating_number,rating_text
2265,4.2,"Excelente profesor para ser joven, ayuda a los estudiantes a entender las prácticas de laboratorio, los temas de la teoría y lo que es necesario para aquel que trabaje en un laboratorio, por lo tanto no hay ningún contra."
2266,5,"Después de haber perdido la materia una vez pero haber amado el tema, ver Dalgo con Duitama fue un alivio. Tiene un don increíble para enseñar, todo queda muy claro, y hace un tema que es difícil e importante para la carrera pueda comprenderse con facilidad."
2267,5,"Nicolas es excelente profesor y excelente persona, el man a veces se va a confundir un poco mientras expone pero se corrige rapido, y a veces esas confundidas lo ayudan a uno a aprender porque uno lo ayuda a encontrar la fuente del error y termina entendiendo bien por que las cosas son como son. Ademas el man entiende que el tema de su clase es muy..."
2268,5,Un excelente profesor. Sin embargo es muy exigente
2269,4.9,"Getmanenko es el profesor más tierno que he visto, tratando de hablar bien español. Respecto a su enseñanza la recomiendo mucho, eso sí toca dedicarle mucho tiempo por las tareas tan largas que deja, sin dejar de lado el bono que dejo para el final. Sus parciales son de 10 puntos y son largos de desarrollar, eso si deja una que otra cáscara. Sin em..."
2270,5,"Excelente profesor de los mejores, explica muy bien, parciales con buen nivel de dificultad,"
2271,4.5,"Las clases con Mauricio son dinámicas y se aprende mucho con él. Aunque la carga académica es pesada, se puede dejar la nota alta."
2272,1.6,"Maria Elisa es una muy mala profesora. Es cero pedagógica y solo le interesa que los estudiantes hagan lo que ella dice así no tenga nada que ver con los objetivos del curso. No sabe entender un estudiante, no se deja hablar, y su prepotencia a la hora de demostrar el conocimiento hace que la clase sea muy poco llevadera. A pesar de que exige cumpl..."
2273,4.1,"La clase es interesante al comienzo del curso. Sebastian realmente comunicaba con algunos estudiantes. Sin embargo, despues se vuelve monotóna y sumamente teórica al punto que sigue al pie de la letra los capítulos del libro. Hizo un par de simulaciones a lo largo del semestre y llevo uno que otro invitado a conversar sobre problemas empresariales...."
2274,4.5,Pros: Un absoluto bacan
2275,5,Es una clase increible. Todo lo que dice adolfo es nuevo e inspirador y uno aprende mucho con cada palabra que dice. La clase me encantó y si pudiera la repetiría todos los semestres.
2276,4,"Diana es una maestra dedicada, apasionada y sabia. Pese a ello, la clase no cumple con los objetivos propuestos; en primer lugar, la sección se centra en opiniones políticas y temas de actualidad más no en las lecturas. En segundo lugar, al no socializarse a cabalidad las lecturas, los parciales necesitan de una preparación más detallada e independ..."
2277,5,Pros: Parciales fáciles si estudia con viejos y entiende el concepto. 
2278,5,"Alejandro es un excelente profesor, basa su clase no solo en los temas obligatorios sino en cosas realmente útiles tanto para la vida como para la carrera. Promueve mucho el análisis y la participación. Es muy amable y escucha a todos sus estudiantes. El mejor profesor para esta clase."
2279,3,"Es muy pasable, pero literal enseña muy mal. Si eres un ingeniero en ultimo semestre y te falta una electiva en ciencias, es perfecta. Si estudias biología o algo donde necesites fundamentos solidos no la recomiendo en lo absoluto. "
2280,5,"Como persona y como profesor es excepcional. Apasionado por la clase, explica a profundidad cada autor e intenta aterrizar la teoría con la realidad política, lo que me parece muy útil. La clase toma tiempo en lecturas pero es realmente sencilla."
2281,3,"Seré completamente honesta y es que al inició del semestre detesté la clase, además no la podía retirar porque eran demasiado créditos como para hacerlo. No obstante con el pasar del tiempo me dejó de parecer tan grave, sin decir que me gustó."
2282,2,"Pésimo profesor, terriblemente desordenado en todo, bastante grosero con los estudiantes y está convencido de que se le tiene que rendir pleitesía. Da la impresión de que no prepara clase, la mitad del semestre se pierde en el poniendo a los estudiantes a debatir sobre las lectura, pierde al rededor de 4-5 semanas de semestre enseñando sobre histor..."
2283,3.4,"No es una mala opción. No se aprende mucho pero tampoco sale vacio de las clases, manda parciales viejos para estudiar y los parciales que hace son realmente muy parecidos a esos."
2284,5,"gran profesor. Siempre está dispuesto a ayudar, se lleva bien con todos y es divertido aveces. Explica bastante bien y de manera simple, responde dudas con mucha paciencia y sus tareas no son muy difíciles si pones atención ademas a veces da la oportunidad de hacer las tareas en clase. Los parciales son muy pasables pero aveces un poco largos. Da siempre bonos en los parciales."
2285,4.8,"Es un excelente profesor, sabe mucho, es amable y flexible, sabe escuchar a sus estudiantes, explica muy bien"
2286,2.5,"Es muy buena persona y resuelve las dudas que tengas de forma amable, pero va demasiado rápido, cuando la vi iba adelantado al programa una o dos clases, va corriendo durante todas las clases para poder hacer una clase en la que resuelve dudas, que a la final no sirve mucho, pues, no profundiza en casi ningún tema, los parciales son muy difíciles e..."
2287,4.5,Pros: Sabe muchísimo.
2288,4.1,"Explica muy bien todos los temas, aclara todas las dudas por mínimas que sean"
2289,1.5,"Bastante flojo para enseñar Stata, los talleres del curso se convierten en una tortura porque para una buena parte de ellos se requiere de comandos que él no explica. En ocasiones se notaba que llegaba indispuesto a la clase y dejaba una parte del contenido sin explicar. "
2290,5,Pros: -Parciales muy fáciles.
2291,4.5,"Emilio es un excelente profesor, siendo un estudiante recién graduado demuestra muchísimo conocimiento y es muy dedicado a su materia. Es una clase un poco pesada por la cantidad de talleres pero las calificaciones son muy buenas si se seguían las instrucciones al pie de la letra. Es muy buen profesor y la clase es demasiado buena, aprendes mucho y te va bien."
2292,3.5,"Erik posee el defecto de que se dificulta mucho su comprensión debido a su acento y su forma de explicar, pero sus parciales tienden a no ser muy dificiles"
2293,5,Es un profesor que sabe demasiado y las discusiones en clase pueden ser muy interesantes. Hay que hacer muchas presentaciones y le gusta hacer quiz de cada lectura entonces casi todos los días hay quiz al principio de la clase.
2294,5,excelente profesor
2295,5,"Alejandro es la mejor opción para Contabilidad Financiera, es un profesor que explica demasiado bien todos los temas, se preocupa demasiado por todos sus estudiantes y es una excelente persona. Sus clases son entretenidas y hace ejercicios para que todos entiendan. Además, deja talleres para practicar para los parciales y las monterías son muy buen..."
2296,5,"Ama lo que dicta y combina con la experiencia, por lo que su clase es muy interesante tanto para los que no saben del tema, como para los que sí. Es muy amable y se empeña en que todos entiendan. Sus parciales pueden tener múltiples respuestas según lo argumente el estudiante."
2297,5,"Es excelente como profesor, aunque a veces pueda parecer un poco desinteresado por algunos proyectos. Da muy buena retroalimentación y siempre está dispuesto a ayudar con el desarrollo del proyecto. Al principio puede ser muy difícil pero vale la pena ver la materia con el"
2298,4.8,"Es el profesor del que más he aprendido en la carrera. Es cierto que es muy exigente y algo rudo cuando se hacen preguntas en clase. Sin embargo, con dedicación y esfuerzo, se puede sacar gran provecho de sus conocimientos. Lo recomiendo para los cursos de matemáticas de economía, pues al haber hecho el PEG, habla en clase de las aplicaciones de la..."
2299,4,Gran maestro
2300,4.5,"Es un profesor que se preocupa porque todos los estudiantes entiendan el tema, desarrolla la clase mediante ejemplos. Explica muy bien y siempre está muy atento para abrir horarios de atención."
2301,2,"Si usted es de industrial y quiere tomar este curso porque quiere aprender más de finanzas, no pierda su tiempo. El profesor es pésimo, no explica bien y además no habla claro. Los temas que se cubren no son nada nuevo e interesante. (Lo único es que obliga a usar bloomberg y pues medio se aprende algo)"
2302,3,"Como profesor, Julio Eduardo, considero que es poco profundo. En sus clases no se dan análisis a nivel profundo e interesante. Muchas conversaciones se pasan por encima y me pasó que algunas veces él las cortaba cuando se estaban volviendo más interesantes porque debíamos cubir otros temas, que me parece que no tiene sentido pues estas conexiones p..."
2303,4.5,"Es un excelente profesor. Se nota que desea que uno entienda bien lo que enseña y se esfuerza por hacerlo. En general fue una muy buena clase, aunque me quedaron todavía algunos sinsabores del tema de sistemas de ecuaciones diferenciales; sin embargo, nuevamente, en general fue una buena clase. Me gustó la orientación al álgebra que le dio al curso."
2304,5,Profesor Intachable. Así de simple.
2305,1.9,Ha sido una de las peores clases que he visto. Me salvó leerme el libro que el mismo escribió
2306,2,"sabe muchísimo de matemáticas y se nota que es un duro pero si usted es una persona que NO se considera bueno en matemáticas y le toma tiempo aprender del tema por favor NUNCA meta estadística 1 (ciencias sociales) con este profesor. Se desespera fácil y le importa poco cuando ve que uno no entiende nada de lo que esta diciendo, sus respuestas cuan..."
2307,2,"En realidad no me pareció una buena profesora...al principio la clase estaba super ordenada e interesante, las lecturas eran pertinentes y las catédras emocionantes. Sin embargo, después de semana de receso empezó a ponerse super grosera con los estydiantes que no tenían su misma opinión y me dí cuenta que no acepta ni respeta ningún punto de vista..."
2308,4.6,"Para mi es la mejor profesora para control, ademas las actividades que realiza en clase ayudan muchísimo para el parcial, explica muy bien y siempre se puede ir a resolver cualquier duda a su oficina"
2309,3,"Es uno de los profesores que más saben del departamento con lo que respecta a la parte matemática de la carrera. Explica temas que con otros profesores no se ven (lo cual considero bueno). Lo malo es que los exámenes son difíciles para el ingeniero de sistemas promedio. Aunque si se leen las lecturas, es breve (mas no cinqueable). Hace pequeñas cur..."
2310,5,Ricardo es excelente. Se aprende mucho en su clase sin necesidad de que esta sea pesada. Es muy comprensivo y chévere. Sus clases son muy interesantes.
2311,5,"Me gusto demasiado su clase, es muy entregado a sus investigaciones y motiva a cuestionarse."
2312,5,"La mejor profesora de THI. Explica de forma sencilla, es demasiado paciente y se interesa por que todos aprendan y vayan al ritmo de la clase. Aunque no te gusten los temas, ella los hace parecer más sencillos y con todas las herramientas de clase, ésta se hace más amena. Recomendada."
2313,3,"Aunque su clase era muy interesante, no me gustó la profesora y dAño mi motivación en la clase"
2314,5,Pros: Sus clases son divertidas y motivadoras
2315,4.5,"Es muy buen profesor, se preocupa porque uno entienda y explica lo mejor posible los temas tan pesados que da en su materia para que hasta un niño pueda entender, además esta siempre atento a cualquier duda que tengan los estudiantes"
2316,5,"Es muy bueno, sabe bien del tema"
2317,5,Este profesor es una bendición. Explica súper bien y es muy paciente. No sé qué habría sido de mi sección sin él... siempre se puso la 10 y nos dio magistrales en 10 minutos jajaja.
2318,4.1,"Considero que es buen profesor, pero realmente es dificil ponerle atención, va muy rapido, pero trata de que uno entienda, aunque no lo logre. Los parciales son muy acordes a lo que se ven en clase y a lo se hace en los talleres. Aunque los talleres van aveces desligados de la clase"
2319,2.5,"Andrea es una muy buena profesora y tiene una trayectoria incrible. Sin embargo, no recomendaría meter Griego I con ella, a menos de tener bases de gramática y ser muy autosuficiente. Además, pretende que se sepan cosas que no todos saben, la clase fue tan terrible que la retire."
2320,5,"Excelente profesora, tiene un método dinámico y muy bueno de evaluar. Tiene un grandísimo nivel académico y es muy buena persona."
2321,4,"Germán es un buen profesor, sabe lo que enseña."
2322,2,Muy mal profesor.
2323,4,"Ingrid es una muy buena profesora. Me dio unos consejos MUY importantes respecto a mi vida laboral. Hay otros profesores que son mucho más prácticos que Marcela. Aunque en esta clase no es obligatorio leer (lo cual me parece que está bien), no se deja a un lado la teoría en las clases. Creo que esto es mas de gusto que de cualquier otra cosa. Cada..."
2324,5,El man es un crack. Sabe mucho del tema y lo explica de una forma sencilla. Esto se debe a que no da la clase de profesor a estudiantes sino como de estudiante a estudiante por su forma de hablar y enseñar. Si se hacen las lecturas del curso se vuelve fácil. Hace curvas si a todo el curso le va muy mal.
2325,3.5,Es muy aburrido. Recomiendo tomarle foto a la presentaciones de él puesto que a veces se niega a mandarlas. Los parciales son logrables.
2326,4,"Aunque le falta mucho para ser una gran profesora, sus conocimientos son muy amplios y los temas de los cuales conoce y maneja son muy complejos. Se preocupa porque en su clase los estudiantes entiendan la conexión de los conceptos académicos con la practica profesional."
2327,3,"Andrés es un profesor que se nota que sabe de los temas pero su clase tiene muchas desventajas. Primero hace parciales donde pregunta 2 o 3 cosas que medio menciona en clase para que los estudiantes no saquen 5 en el parcial. Lo segundo es que la mayoría de trabajos toca hacerlos dos veces, una para clase y una para el proyecto, lo cual no es efici..."
2328,5,Cristian es un gran profesor. Explica los temas de una forma muy agradable y con gran carisma. En este semestre el primer parcial fue el unico complicado y reconoció que se le fue la mano.
2329,5,"Alejandra siempre llega con la mejor energía a clase. Sabe demasiado de la lengua y de la cultura. El primer mejor acercamiento a la lenguas, sin dudarlo, es con ella."
2330,5,Vi Fundamentos de los Negocios el semestre pasado. Es un tipo que sabe demasiado y hace fácil la clase. La hora y media volaba y lo disfruté mucho. Intentaré ver clase con el de nuevo.
2331,4.5,"Lógica y Retórica hace parte del primer semestre de la carrera y tiene como finalidad enseñarle a argumentar y contra argumentar. Me parece que a clase con Marcela entiende lo primero y cumple con lo segundo. No le pide mucho (por que lo haría, si usted acaba de entrar a la universidad) y le hace una muy buena retroalimentación de su argumentación ..."
2332,4.5,Buena profesora en general. Se aprende mucho y si uno pone atención es Muy posible dejarla alta. Sabe mucho y la recomiendo porque mis amigos en otras secciones aprendieron menos que yo.
2333,4.9,"Es re bacán jaja, en serio el man es buena gente y lo ayuda mucho a uno :D"
2334,1.5,"Aunque Rubby sabe muchísimo, le gusta la clase menos de lo que a cualquier estudiante. Tiene un desinterés completo por lo que se está desarrollando, y un desorden increíble. Suele ignorar mails por largo tiempo, o por completo. Se aprende muy, muy poco, pues su idea del proyecto es que se copie y modifique un ejemplo, que en algunas ocasiones está..."
2335,5,"La clase y los temas son bastante interesantes si estudias economía o afines, si no se puede volver un poco tediosa por los conceptos técnicos que se utilizan así que no la recomiendo como CBU ni CLE, en profesor es demasiado experto en su área, es una eminencia para la economía colombiana y ademas es muy muy buen profesor. Los parciales son pesado..."
2336,3.9,Muy querido pero se confunde
2337,5,Excelente opción para ANADEC.
2338,4.4,"Sabe mucho sobre los temas que explica y transmite la pasión que el siente sobre los autores hacia sus estudiantes. Aunque es una materia difícil ya que cambia la dinámica de la clase anterior (Escuelas I), es la mejor clase del pregrado."
2339,4.5,"Muy buena profesora. Nunca se equivoca y aunque parezca que no es tan amable, si se le habla personalmente es muy querida con cada estudiante."
2340,5,"Vi fundamentos con ella y es muy buena profesora. Tiende a ser un poco teórica, sin embargo se preocupa porque todos los estudiantes participen y entiendan los temas que se ven a lo largo del semestre. Siempre planea su clase con el fin de que sea más entretenida y dinámica, y retoma lo visto en clase para cada parcial y para el final. ¡Recomendada!"
2341,2.9,"José Darío en el fondo es una buena persona, solo no se sabe expresar. Como profesor es terrible, no sirve casi ir a clase porque uno sale igual de perdido o incluso peor. Los parciales son difíciles pero él los califica suave."
2342,4.2,"Sergio es un erudito. Sin embargo, sus clases pueden desligarse de esto, pues solo basta con tener las lecturas a la mano para obtener una buena nota. Tal vez por esto y porque no exista una conciencia de un desinteresado amor por el conocimiento en los estudiantes, que las clases de Sergio pueden ser tomadas como de relleno."
2343,3.5,"El CBU es un poco aburrido si no te interesa el tema. Aun así, Hernando es muy amable y le mete ganas para hacerlo más agradable. Toca dedicarle un buen tiempo al CBU porque se califica a través de talleres y cuestionarios en SICUA y el proyecto requiere de mucha organización y autonomía."
2344,1.5,"Si usted quiere aprender no meta con el, ni siquiera va a clase y a veces es muy difícil los parciales."
2345,4,"En general, opino que Raúl es buen profesor."
2346,5,"es una excelente profesora, se preocupa por que todos entiendan, a veces suele ser un poco escuelera, pero por lo demas es facil, los parciales son muy logrables y aun que ella suele ser algo aburrida en el fondo es amable y agradable."
2347,4.5,"Es exigente, pero no hace su clase aburrida. Además, es una persona muy querida."
2348,4,"La clase es muy exigente y consume mucho tiempo, pero vale la pena para la cantidad de conocimiento que se adquiere."
2349,4.5,"Me gusto mucho la clase, se aprende mucho no solo en la parte científica sino en las implicaciones sociales que puede tener."
2350,4.5,"Es un buen profesor, sabe mucho del tema y explica bien. Sus parciales no son complicados y son muy acordes a lo que enseña y a las monitorías que se hacen. Por otra parte, tiene una forma de ser un poco fuerte, por lo que eso puede molestar a algunos, pero uno aprende bastante ya que generalmente da muchos ejemplos que sirven para entender mejor los temas que se ven. La clase es exigente."
2351,4.5,"El mejor profesor que he tenido en la universidad, es experto en el tema, le gusta enseñarlo, se preocupa que sus estudiantes entiendan y sus clases son entretenidas y motivadoras. Sin embargo siempre es necesario llegar a clase con el tema del libro previamente leído puesto que le gusta hacer interrogatorios aleatorios. Cabe destacar que aunque ha..."
2352,4,"Creo que en realidad es una buena profesora, sus clases son claras. Creo que enseña el contenido que se debe enseñar, pero al ser aburrida, la clase es desaprovechada por los estudiantes."
2353,4,"No es fácil pasar, exige mucho y se preocupa por qué sus estudiantes aprendan de verdad!. Si quieren aprender y tener buenas bases para el resto de la carrera inscriban con el."
2354,5,"Alicia es una excelente profesora, organizada y cumplida. Trata todos los temas y se entiende muy bien lo que explica."
2355,5,Es muy buena persona y sabe MUCHÍSIMO del tema. Siempre se preocupa porque todos los estudiantes entiendan los temas y siempre abre espacios para resolver dudas. Utiliza diferentes métodos didácticos. Busca conectar con los estudiantes a través de los ejemplos que hace y de verdad que lo logra.
2356,5,Es de los mejores profesores que he tenido en la universidad. Explica claro e incentiva a los estudiantes a profundizar.
2357,4.5,"Andres es un amor, es justo, práctico y siente pasión por lo que hace"
2358,4,"Es un buen profesor, algo perdido en clase pero muy querido. Los parciales no son tan difíciles como los de otros profesores. Realmente no es necesario ir a clase, si se estudia con el libro, se va a las complementarias y se estudia con parciales viejos."
2359,4.5,"Molina es un excelente profesor si de verdad quiere aprender, pues con el se trabaja y es duro con los ""quices"" que los llama comprensiones semanales de lectura. Explica muy bien y sabe mucho del tema pues le apasiona bastante"
2360,5,"Había escuchado que el curso común de Colombia era bastante pesado por su dinámica y por la cantidad de lecturas que hay que desarrollar. Sin embargo, con Liliana la dinámica de las lecturas se convierte en debates muy interesantes. Además, no sólo se hacen comentarios de las lecturas, sino que también se incluyen ámbitos de la historia y de la act..."
2361,5,"Hace las clases muy interesantes, explica de forma muy clara y realiza ejercicios durante las clases que ayudan comprender los temas mejor y a entender la utilidad de los mismos."
2362,5,Pros: Las clases son muy entretenidas y su manera de enseñar es muy diferente pero mantiene más la atención de los estudiantes
2363,5,Juan Pablo es el mejor profesor de Escritura I. Da muchos bonos y es flexible con las entregas de notas. Hace la clase muy amena ya que siempre interactua con los estudiantes y hace varias actividades en clase. Hace actividades en Kahoot sobre presentaciones pero son cero difíciles y da chocolates al que gane. Hace muy buenas correcciones de los textos y es consciente del avance de cada alumno
2364,4.8,"Tiene muchísima experiencia y la transmite todo el tiempo a sus estudiantes, es amable, hace chistes y entra en confianza con facilidad. Se aprende demasiado."
2365,5,"Luis es una gran persona, un profesor muy amable y atento con los estudiantes. Es un gran apoyo tenerlo de profesor durante el primer semestre de universidad."
2366,3,"La clase con Nubia en cuanto a los temas y la profundidad de estos es buena. Sin embargo su clase es muy aburrida y monotona, ella se limita a leer unas diapositivas y a repetir lo que seguramente ha dicho durante muchos semestres sin revisar si esa información es correcta o no. Su calificación puede llegar a ser complicada porque no pone criterios claros."
2367,3.5,Es amable pero muuuy subjetiva con la calificación. Sólo ayuda hombres y a veces suele ignorar las dudas de unas personas para atender las de otras
2368,1.6,"Mario siempre esta pendiente por brindar una oportuna comunicación con los estudiantes, atento a los cambios y las oportunidades de mejora que se pueden dar en las clases."
2369,5,"Es un profesor excelente, sabe mucho y los temas se ven de manera organizada. Lo único es que se tiene que leer absolutamente todo, la mayoría de las clases son recuentos y explicaciones sobre las lecturas pero él se da cuenta si la clase no lee."
2370,4.5,"Gran profesor, aprendes en la práctica y te inculca un pensamiento fotográfico. Tiene sus clases bien estructuradas tanto en carga académica como en planeación."
2371,3.3,Es poco ordenada y sus ejercicios en clase difieren bastante de los quices y parciales. No se interesa por el orden en el salón lo que hace que sus clases sean desordenadas y ruidosas.
2372,4,"Me parece que enseña muy bien y busca ver todos los temas necesarios de la clase, lastimosamente los ve muy en profundidiad y no le alcanza el tiempo de la clase, pero da bonos y busca que los estudiantes aprendan."
2373,4.6,"Excelente persona, Se esfuerza porque sus estudiantes entienda. Se nota que le gusta ser profesor, tiene dominio en el tema ."
2374,5,"Camilla es muy buena profesora, habla muy claro, explica excelente y me animo mucho a seguir aprendiendo el idioma. Los exámenes orales no me parecieron complicados, hay que prepararlos pero no gastan mucho tiempo, al igual que los parciales escritos solo es ir a clase y medio repasar. Además es muy amable y le interesa que sus estudiantes aprendan..."
2375,5,"Se caracteriza por su precisión conceptual, su brevedad y claridad en la exposición de los temas. Su metodología me parece muy acertada pues combina las sesiones PBL's con reseñas de textos ligados al ámbito hermenéutico. Anima al estudiante a participar y siempre es constructiva con sus comentarios. Deja trabajos que logran interiorizar las ideas claves de los temas"
2376,4.8,"Es buen profesor, solo hay que preguntarle mucho y estar pendiente del programa ya que generalmente va muy rápido y no se alcanza a entender todo"
2377,5,Es un profesor excelente aunque con una metodología que no se termina de adaptar a muchos estudiantes. Sus clases pueden volverse un poco aburridas aveces aunque da muy buena retroalimentación.
2378,4.5,"Muy buen profesor, Raul lleva dando Micro 2 y Micro 3 por décadas. En las magistrales suele introducir los modelos y, en general, es muy claro en sus explicaciones. Envía talleres todas las semanas que no son obligatorios y da bonos (tareas) en los parciales y los quices. Muy dispuesto a resolver dudad."
2379,4,"Maddalena es buena profesora, sin embargo su clase podría ser más dinámica y apasionante. A pesar de eso explica los temas claramente y es ordenada. Es amable y uno le puede comentar sus inquietudes tranquilamente."
2380,5,Sin duda alguna la materia que mas disfruté en mi primer semestre. Aparicio posee un basto conocimiento con el cual logra hacer de las clases un dialogo de las lecturas con cosas de la vida cotidiana u otros autores. Logra sintetizar todo lo que dice en las lecturas en las clases explicándolas de una forma magistral -tiene buen sentido del humor-.
2381,5,"Pros: Excelente profesor! la clase es muy interesante, y tiene varias formas de evaluar de tal manera que a quienes le va mejor en ensayos que en parciales también se beneficien"
2382,4,"Hernando es una ternura de profesor, lastimosamente su clase puede tornarse aburrida por los vídeos que pone y la forma en que habla, pero si te interesa el tema es banstante interessnte. Es un CBU que permite dejar la nota por encima de 4.5, sin embargo para algunos talleres se debe tener conocimientos previos sobre ciertas cosas."
2383,5,"La verdad la clase me pareció muy buena, fueron 4 ensayos en todo el semestre. Lo cual aseguraba que uno leyera y pensara todo respecto a cada tema. Habían 4 quices avisados y súper fáciles de las lecturas. Los debates de las clases eran interesantes."
2384,1.5,"Es fácilmente la peor profesora que he tenido en toda la carrera, es grosera, habla fuerte, y se mete en un rollo impresionante que al final no termina diciendo nada. Evitense el PTSD y metan con alguien más"
2385,5,"Excelente complementario, muy dispuesto a atender todas las dudas que uno tenga así no sea en su horario de atención siempre y cuando tenga tiempo. Explica bien y no le importa explicar algo varias veces para que uno pueda entender los temas."
2386,5,"Es una excelente profesora, arquitecta y anecdótica y simpática. Es respetuosa con sus alumnos, y desde la clase 1 demuestra que no quiere una relación profesor-estudiante tan distanciada. Aprendí mucho con ella de los contenidos del taller y de la vida en la arquitectura. Ojalá dé otros cursos para que más estudiantes la conozcan."
2387,5,"Nicole es una profesora muy atenta con sus estudiantes , el feedback de cada actividad es bastante personalizado e oportuno. Sus explicaciones tienden a ser faciles de entender y no tiene problema con repetir si es necesario. Cada clase era dinamica y entretenida. Diria que Nicole es una de las profesoras que te motivan a seguir estudiando Aleman. ..."
2388,4.8,"Es una excelente profesora. Es cierto que su dominio del español es escaso, pero sabe mucho y en el curso que dicta en inglés es una excelente profesora. Creo que puedo decir que aprendí mas de psicología clínica en esa clase más que en el resto de la carrera"
2389,4,"La clase es extremadamente aburrida, pero explica decentemente."
2390,3.8,"Rafael tiende a confundirse un poco a la hora de explicar los temas de clase, las respuestas que dan a sus preguntas pueden estar bien pero él las enreda. Aunque, tiene actividades en las que uno aprende mucho sobre los tema y los comprende de mejor forma. las clases complementarias son de muy buena ayuda para la parte práctica de los temas. Recome..."
2391,4.5,"Es mejor leer el libro antes de las clases, aun asi es muy bueno."
2392,3.5,Notas bajas y se aprende poco. Sus clases son aburridas y no lo motivan a uno.
2393,4,"Esteban es un crack en derecho constitucional, se le nota la pasión por la clase y es muy dedicado con el curso, su monitora fue excelente. Personalmente a mi no me gustó el primer módulo de la clase debido a que se basaba en intervenciones de los estudiantes sobre las lecturas con Esteban moderandolas. Sin embargo nunca se llegó a algo concreto y ..."
2394,5,"Excelente profesor, se aprende mucho y la manera en la cuál él dicta los temas es práctico y entretenido."
2395,3,"El cbu más fácil de todos, sólo hay 3 talleres en clase que se hacen en grupos de 8 personas y una presentación final muy breve de un tema de la clase."
2396,4.5,"El profesor es muy amable y querido, pero puede ser un poco monótona la clase. Se aprende principalmente con las lecturas. El proyecto final ayuda a poner en práctica lo aprendido, y es interesante."
2397,4.1,"Pros: Es bueno explicando, le apasiona el tema."
2398,5,Nicolás es un excelente profesor. Es muy claro y organizado. Desde el comienzo es muy claro el contenido de la clase. Da herramientas útiles para aprender los conceptos pero además para ejercer la profesión.
2399,5,un profesor para en verdad aprender
2400,4,"Liliana es confusa explicando, pero lo forza a uno a aprender al punto en que para el final, de todas las secciones de ecomat, la unica seccion preparada era la de ella. Los parciales son relativamente faciles y ella da muchas oportunidades con las notas. Volveria a ver ecomat con ella, porque aprendi muchisimo contrario a lo que me cuentan sucedio en las otras secciones."
2401,4,"Enseñar a liderar no es nada sencillo. La clase, en general, me pareció entretenida ya que esta lejos de lo convencional. La mayoría de las sesiones son de discusiones entre los integrantes del curso. Al final uno termina conociendo a casi todos los que la toman. Creo que al final no aprendí a liderar, pero la clase sí brinda ciertas herramientas p..."
2402,5,"Definitivamente de los mejores maestros que he tenido, con la capacidad de llegar al estudiante a través de la crítica y el humor logra brindar un mensaje categórico con el fin de repensar los valores y principios de una sociedad desde numerosas áreas del conocimiento y distintas perspectivas."
2403,5,Pablo es una persona integral que exige a nivel básico y trata de manera cordial y alegre a todos sus estudiantes. A pesar de que la materia que ví es un cbu se nota la capacidad y los conocimientos que tiene.
2404,5,"Muy buena profesora y ademas buena persona. Hizo ver APO de una manera muy fácil, los parciales son acordes a lo que explica y siempre esta dispuesta a responder dudas en su correo o en su horario de atención."
2405,4.4,Muy buen profesor. Fácil de entender y sumamente amable con sus estudiantes.
2406,5,"Excelente persona y profesora. Da todo el temario completo, deja todo claro, es respetuosa y ordenada. Las evaluaciones son adecuadas y las notas justas. Quedan buenas bases para clases futuras, especialmente contratos. Disfruté particularmente la parte de propiedad industrial, y a quien le interese puede ver facultativas de ésto en el futuro con las bases de esta clase."
2407,5,"Ana es una de las mejores profesores de historia del arte. Logra que los estudiantes participen en clase y propicia discusiones interesantes. Algunas personas dicen que ella es estricta pero con todo derecho, pues no pretendan ir a (cualquier) clase si van a estar hablando con otros compañeros o jugando en el celular. He tomado varias clases con el..."
2408,5,"Es un Dios explicando SAD, hace la clase amena e interactiva y se preocupa mucho porque todos los estudiantes aprendan. Aclara los temas del parcial y explica la parte difícil de cada tema"
2409,2,"Gran docente, pésima persona."
2410,5,"Me parece una profesora excelente, es apasionada por lo que enseña y utiliza una metodología muy creativa"
2411,4,"Es estricta, pero buena profesora. Explpica muy bien y es muy apasionada por los temas que dicta. Su clase es entretenida y es muy buena gente. Ayuda mucho en horarios fuera de clase y le interesa mucho que uno aprenda."
2412,2.5,"No explica tan bien, se basa en que ya se tienen los conceptos previos de todos los temas"
2413,1.5,"es una pesima profesora, se desespera si uno le pregunta algo y cuando "
2414,4.5,"Cindy es una muy buena persona, siempre esta dispuesta a ayudar y sabe que la materia la toman como electiva asi que la dificultad es 0 grave. Si van a meter clase con ella a las 6:30am siempre llegará a las 7am a menos que sea el dia del parcial. No hubo ni 1 dia que llegara temprano."
2415,3,"Me parece que es un profesor normal: explica sencillo, pero sin mucha profundidad. Es un buen tipo y está dispuesto a ayudar con notas, pero en general es indiferente de lo que pasa en la clase y con los estudiantes (le resbalan las cosas, cancela clases seguido, etc.) y no parece interesarle mucho que sus estudiantes aprendan. Puede ser una excelente opción si está buscando algo un poco relajado."
2416,5,"La clase con alejandro es excelente! Como estudiantes nos induce a crear un pensamiento critico sobre el pasado, presente y posible futuro. Es un hombre que deja de lado el concepto de que el profesor dicta y los estudiantes obtienen informacion, ya que deja correr la libre expresion (elocuente a la clase) dentro del aula. Genera diciplina con sus ..."
